City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,belaya gora,68.5333,146.4167,-37.4,100,98,1.82,RU,1674098144
338,byron bay,-28.65,153.6167,30.52,54,0,5.63,AU,1674098144
339,naantali,60.4674,22.0243,1.15,100,100,1.54,FI,1674098144
340,baoqing,46.3317,132.2111,-8.14,83,100,3.79,CN,1674098145
341,puri,19.8,85.85,20.29,81,3,2.76,IN,1674098145
342,neenah,44.1858,-88.4626,0.08,90,100,4.63,US,1674098146
343,jagdispur,25.4833,84.4167,12.27,46,0,1.28,IN,1674098146
344,saint anthony,45.0205,-93.218,0.53,84,100,4.63,US,1674098147
345,wonthaggi,-38.6044,145.5913,18.23,51,46,5.94,AU,1674098147
346,tiksi,71.6872,128.8694,-34.26,100,92,0.72,RU,1674098006
347,pangoa,-12.1167,-73.0,20.35,99,100,0.7,PE,1674098148
348,sola,-13.8833,167.55,25.96,85,100,13.55,VU,1674098149
349,hualmay,-11.0964,-77.6139,21.45,76,99,3.22,PE,1674098149
350,boke,10.9409,-14.2967,19.52,87,0,0.57,GN,1674098150
351,nemuro,43.3236,145.575,-5.77,61,81,3.27,JP,1674098150
352,corrente,-3.7367,-43.3394,21.72,99,100,0.36,BR,1674098151
353,shubarshi,48.5872,57.1869,-12.5,82,71,3.13,KZ,1674098151
354,am timan,11.0297,20.2827,21.76,24,93,2.78,TD,1674098152
355,paamiut,61.994,-49.6678,-2.64,93,100,3.77,GL,1674098152
356,leningradskiy,69.3833,178.4167,-29.48,98,100,10.31,RU,1674098153
357,cockburn town,21.4612,-71.1419,24.68,60,5,6.6,TC,1674098153
358,bubaque,11.2833,-15.8333,25.24,66,1,2.74,GW,1674098154
359,antofagasta,-23.65,-70.4,19.6,82,39,2.51,CL,1674098154
360,honavar,14.2833,74.45,22.77,40,10,2.16,IN,1674098155
361,atambua,-9.1061,124.8925,27.8,70,100,2.88,ID,1674098155
362,sukhumi,43.0033,41.0153,9.86,51,12,2.43,GE,1674098156
363,mongomo,1.6274,11.3135,19.36,94,94,0.9,GQ,1674098156
364,kang,-23.6752,22.7876,21.64,61,13,3.56,BW,1674098157
365,coquimbo,-29.9533,-71.3436,16.85,88,100,3.09,CL,1674097997
366,vao,-22.6667,167.4833,24.3,70,75,10.63,NC,1674098158
367,kuminskiy,58.6667,66.5667,-13.55,96,60,2.19,RU,1674098159
368,darhan,49.4867,105.9228,-24.61,87,14,2.68,MN,1674098159
